Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1896,NL,58,73,10,5.2,133,5025,4548,692,1292,174,87,28,557,198,,344,269,0.284,0.34,0.379,0.719,297,104,0.945,28.9
1895,NL,71,60,5,6.56,134,5284,4757,879,1346,191,78,41,725,184,,397,319,0.283,0.346,0.382,0.728,326,97,0.941,28.3
1894,NL,70,61,5,7.59,135,5453,4851,1024,1514,231,130,42,869,282,,467,295,0.312,0.377,0.439,0.816,393,85,0.928,28.6
1893,NL,65,63,7,5.96,130,5024,4511,775,1200,173,83,45,644,213,,473,296,0.266,0.341,0.371,0.712,385,88,0.93,29.5
1892,NL,95,59,3,5.92,158,6168,5485,935,1439,183,105,30,719,409,,629,508,0.262,0.344,0.35,0.694,398,98,0.94,27.7
1891,NL,61,76,6,5.58,137,5249,4748,765,1233,200,69,23,603,337,,465,435,0.26,0.33,0.345,0.676,432,73,0.924,28
1890,NL,86,43,1,6.85,129,4977,4419,884,1166,184,75,43,691,349,,517,361,0.264,0.346,0.369,0.715,320,92,0.94,27.9
1889,AA,93,44,1,7.11,140,5414,4815,995,1265,188,79,47,761,389,,550,401,0.263,0.344,0.364,0.708,421,92,0.928,27.7
1888,AA,88,52,2,5.3,143,5280,4871,758,1177,172,70,25,574,334,,353,439,0.242,0.3,0.321,0.621,502,88,0.918,27.7
1887,AA,60,74,6,6.55,138,5420,4913,904,1281,200,82,25,689,409,,456,357,0.261,0.33,0.35,0.68,562,88,0.905,26.8
1886,AA,76,61,3,5.9,141,5504,5053,832,1261,196,80,16,569,248,,433,523,0.25,0.311,0.33,0.641,610,87,0.9,26.3
1885,AA,53,59,5,5.57,112,4223,3943,624,966,121,65,14,428,,,238,324,0.245,0.295,0.319,0.614,434,56,0.91,26.1
1884,AA,40,64,9,4.37,109,3958,3763,476,845,112,47,16,,,,179,417,0.225,0.263,0.292,0.555,520,68,0.889,28
